exercise_name,met_value,target_areas,primary_muscles,secondary_muscles,description,exercise_id,instructions_ko
스쿼트,5.5,하체;코어,대퇴사두근;대둔근,대퇴이두근;복직근;척추기립근,하체와 코어를 강화하는 대표적인 다관절 운동,75Bgtjy,"양발을 어깨너비로 벌리고 서서, 발끝은 약간 바깥쪽을 향하게 하세요.|의자에 앉는 것처럼 무릎을 굽히고 엉덩이를 뒤로 빼면서 몸을 낮추세요.|운동하는 동안 가슴은 편 상태를 유지하고 등은 곧게 펴세요.|허벅지가 바닥과 평행이 될 때까지 또는 편안하게 내려갈 수 있는 가장 낮은 지점까지 몸을 낮추세요.|가장 낮은 지점에서 잠시 멈춘 후, 발뒤꿈치에 힘을 주어 시작 자세로 돌아오세요.|원하는 횟수만큼 반복하세요."
점프 스쿼트,6.0,하체;전신,대퇴사두근;대둔근;비복근,대퇴이두근;복직근,점프 동작으로 폭발력과 심폐 지구력을 함께 향상,LIlE5Tn,"발을 어깨너비로 벌리고 섭니다.|무릎을 굽히고 엉덩이를 뒤로 빼며 스쿼트 자세로 몸을 낮춥니다.|엉덩이, 무릎, 발목을 펴면서 폭발적으로 점프합니다.|공중에서 균형을 잡기 위해 팔을 빠르게 앞으로 가져옵니다.|발 앞부분으로 부드럽게 착지하고 즉시 다음 반복으로 이어갑니다.|원하는 횟수만큼 반복합니다."
와이드 스쿼트,5.5,하체;엉덩이,내전근;대둔근;대퇴사두근,대퇴이두근;복직근,다리를 넓게 벌려 내전근과 둔근의 개입을 높임,s7HX1BY,"발을 어깨너비보다 넓게 벌리고, 발끝은 약간 바깥쪽을 향하게 섭니다.|(선택) 바벨을 등 위쪽, 승모근이나 후면 삼각근에 올려놓습니다.|코어에 힘을 주고 가슴을 편 상태에서, 엉덩이를 뒤로 빼고 무릎을 굽혀 스쿼트 자세로 몸을 낮춥니다.|허벅지가 바닥과 평행이 될 때까지, 또는 편안하게 내려갈 수 있는 만큼 몸을 낮춥니다.|가장 낮은 지점에서 잠시 멈춘 후, 발뒤꿈치로 바닥을 밀어 시작 자세로 돌아옵니다.|원하는 횟수만큼 반복합니다."
런지,5.5,하체,대퇴사두근;대둔근,대퇴이두근;비복근;복직근,보폭을 넓혀 한쪽 다리씩 하체 안정성과 균형을 강화,t8iSghb,"발을 어깨너비로 벌리고 섭니다. (선택) 바벨을 등 위쪽에 올립니다.|상체를 곧게 편 상태에서 오른발을 앞으로 한 걸음 내딛습니다.|오른쪽 무릎을 굽혀 허벅지가 바닥과 평행이 될 때까지 몸을 낮춥니다.|오른발 뒤꿈치로 바닥을 밀어 시작 자세로 돌아옵니다.|왼발도 동일하게 반복하며, 원하는 횟수만큼 다리를 번갈아 가며 수행합니다."
브릿지,3.5,엉덩이;코어,대둔근;대퇴이두근,복직근;외복사근;척추기립근,둔근 활성화와 골반 안정성에 효과적인 기초 운동,qKBpF7I,"바닥에 등을 대고 누워 무릎을 굽히고 발바닥을 바닥에 붙입니다.|(선택) 바벨을 골반 위에 놓고 양손으로 단단히 잡습니다.|둔근과 코어 근육에 힘을 주고, 무릎부터 어깨까지 몸이 일직선이 되도록 엉덩이를 들어 올립니다.|가장 높은 지점에서 잠시 멈추며 둔근을 꽉 조여줍니다.|천천히 엉덩이를 시작 자세로 내립니다.|원하는 횟수만큼 반복합니다."
레그 레이즈,5.0,복근,복직근;장요근,외복사근;내복사근,하복부 중심의 코어 강화에 효과적,I3tsCnC,"풀업 바에 팔을 완전히 펴고 손바닥이 앞을 향하도록 매달립니다.|코어에 힘을 주고 다리를 곧게 편 상태로 앞으로 들어 올립니다.|다리가 바닥과 평행이 되거나, 편안하게 올릴 수 있는 가장 높은 지점까지 계속 들어 올립니다.|가장 높은 지점에서 잠시 멈춘 후, 천천히 다리를 시작 자세로 내립니다.|원하는 횟수만큼 반복합니다."
스탠딩 카프 레이즈,5.0,종아리,비복근;가자미근,전경골근,종아리 근육 발달과 발목 안정성 향상,8ozhUIZ,"발을 어깨너비로 벌리고 섭니다. (선택) 바벨을 등 위쪽에 올립니다.|발가락에 힘을 주어 발뒤꿈치를 가능한 한 높이 들어 올립니다.|가장 높은 지점에서 잠시 멈춘 후, 천천히 발뒤꿈치를 시작 자세로 내립니다.|원하는 횟수만큼 반복합니다."
푸시업,8.0,가슴;어깨;삼두,대흉근,삼두근;전면 삼각근;복직근;외복사근,상체 전반을 사용하는 맨몸 밀기 운동,I4hDWkc,"손을 어깨너비보다 약간 넓게 벌리고 발을 모아 하이 플랭크 자세로 시작합니다.|코어에 힘을 주고 몸을 일직선으로 유지한 채, 팔꿈치를 굽혀 가슴이 바닥에 가까워지도록 몸을 낮춥니다.|가슴이 바닥에 거의 닿을 때 잠시 멈춘 후, 팔을 펴서 시작 자세로 돌아옵니다.|원하는 횟수만큼 반복합니다."
윗몸일으키기,8.0,복근,복직근,장요근;외복사근,복부 전면 강화와 코어 안정성 향상,AR0ig3o,"바닥에 등을 대고 누워 무릎을 굽히고 발바닥을 바닥에 고정합니다.|양손을 머리 뒤에 대거나 가슴 위에서 교차합니다.|복근에 힘을 주어, 상체를 천천히 일으켜 앉는 자세를 취합니다.|가장 높은 지점에서 잠시 멈춥니다.|천천히 상체를 시작 자세로 내립니다.|원하는 횟수만큼 반복합니다."
크런치,8.0,복근,복직근,외복사근,짧은 가동범위로 복직근 집중 자극,s8nrDXF,"바닥에 등을 대고 누워 무릎을 굽히고 발바닥을 바닥에 붙입니다.|(선택) 가슴 위에 원판이나 덤벨과 같은 중량을 올립니다.|복근에 힘을 주어, 견갑골(어깨뼈)이 바닥에서 떨어질 때까지 상체를 들어 올립니다.|가장 높은 지점에서 잠시 멈춘 후, 천천히 상체를 시작 자세로 내립니다.|원하는 횟수만큼 반복합니다."
